epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6859.91,0.39702,0.21654,0.8047,0.82225,0.76763,0.80506,0.5564,1.34193,0.85539,1.60299,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7172.62,0.39391,0.21439,0.80416,0.82392,0.7723,0.8055,0.5599,1.34695,0.86116,1.60638,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7483.32,0.38964,0.21237,0.80309,0.82161,0.76848,0.80365,0.5562,1.35739,0.87185,1.59907,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7797.94,0.3861,0.21074,0.80241,0.81789,0.76841,0.80386,0.55878,1.35413,0.8765,1.6105,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8116.84,0.38297,0.20817,0.8017,0.81883,0.77162,0.80425,0.55843,1.34709,0.88043,1.61124,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,8432.93,0.38062,0.20741,0.80122,0.81895,0.77093,0.80235,0.55884,1.34066,0.8823,1.63918,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,8745.87,0.37603,0.20515,0.80038,0.81795,0.77285,0.80247,0.56137,1.33498,0.87534,1.62696,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9060.98,0.37256,0.20289,0.79942,0.81864,0.77419,0.8041,0.56292,1.33243,0.87757,1.60478,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,9378.16,0.3697,0.20173,0.79901,0.8136,0.77492,0.80416,0.56277,1.33586,0.8741,1.60126,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,9692.65,0.36588,0.19946,0.79806,0.81641,0.77297,0.80462,0.56337,1.34083,0.8736,1.5976,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10010.3,0.36445,0.19862,0.79782,0.81326,0.77067,0.8045,0.56251,1.33948,0.87661,1.59971,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,10323.8,0.36105,0.1967,0.79697,0.81037,0.77162,0.80507,0.56461,1.33754,0.87637,1.60537,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,10641.8,0.35724,0.19471,0.79636,0.81328,0.77062,0.80527,0.56641,1.33615,0.87784,1.60759,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,10954.4,0.35387,0.19267,0.7959,0.81699,0.76904,0.80483,0.56794,1.33394,0.87831,1.60801,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,11270.6,0.35138,0.1913,0.79526,0.81566,0.76988,0.80474,0.56768,1.33403,0.87767,1.60956,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,11583.1,0.34867,0.18991,0.79464,0.82065,0.76951,0.8046,0.56737,1.33424,0.87615,1.61019,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,11896.5,0.34612,0.18854,0.79392,0.82092,0.76981,0.80501,0.56695,1.33273,0.87612,1.6089,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12209.3,0.3424,0.18648,0.79322,0.8225,0.77015,0.80461,0.56678,1.33174,0.87709,1.60875,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,12521,0.34024,0.18537,0.79288,0.82181,0.77054,0.8042,0.56717,1.32993,0.8774,1.60728,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
